File Name,File Path,Size (bytes),Created,Modified,Extension,Title,Author,Company
testmakepy.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testmakepy.py,1953,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testmakepy.py,1.90 KB,Python Source File
testMarshal.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testMarshal.py,6213,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testMarshal.py,6.06 KB,Python Source File
testMSOffice.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testMSOffice.py,6054,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testMSOffice.py,5.91 KB,Python Source File
testMSOfficeEvents.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testMSOfficeEvents.py,4176,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testMSOfficeEvents.py,4.07 KB,Python Source File
testNetscape.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testNetscape.py,633,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testNetscape.py,633 bytes,Python Source File
testPersist.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testPersist.py,6523,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testPersist.py,6.37 KB,Python Source File
testPippo.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testPippo.py,2702,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testPippo.py,2.63 KB,Python Source File
testPyComTest.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testPyComTest.py,27713,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testPyComTest.py,27.0 KB,Python Source File
Testpys.sct,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\Testpys.sct,1098,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.sct,Testpys.sct,1.07 KB,SCT File
testPyScriptlet.js,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testPyScriptlet.js,1120,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.js,testPyScriptlet.js,1.09 KB,JSFile
testROT.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testROT.py,793,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testROT.py,793 bytes,Python Source File
testServers.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testServers.py,1443,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testServers.py,1.40 KB,Python Source File
testShell.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testShell.py,9694,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testShell.py,9.46 KB,Python Source File
testStorage.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\test\testStorage.py,3707,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,testStorage.py,3.62 KB,Python Source File
