collected_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres
2023-10-29T07:08:37Z,movie,Agatha and the Curse of Ishtar,2019,6.22269,490105,tt10964992,655730,https://trakt.tv/movies/agatha-and-the-curse-of-ishtar-2019,2019-12-15,95,crime
2023-10-29T07:08:37Z,movie,Agatha and the Midnight Murders,2020,5.92746,589539,tt11062400,749395,https://trakt.tv/movies/agatha-and-the-midnight-murders-2020,2020-10-07,91,"mystery,drama"
2023-10-29T07:08:38Z,movie,Agatha and the Truth of Murder,2018,6.42157,421469,tt9381998,570352,https://trakt.tv/movies/agatha-and-the-truth-of-murder-2018,2018-12-23,93,"mystery,drama"
2023-08-07T20:30:36Z,movie,Age of Heroes,2011,6.14699,24904,tt1590950,38540,https://trakt.tv/movies/age-of-heroes-2011,2011-09-09,90,"action,drama,thriller,war"
2023-05-08T20:53:29Z,movie,Agent Game,2022,5.59907,698208,tt14168394,872542,https://trakt.tv/movies/agent-game-2022,2022-04-08,90,"action,thriller"
2023-09-24T19:07:02Z,movie,Agora,2009,7.13212,16067,tt1186830,26428,https://trakt.tv/movies/agora-2009,2009-10-09,127,"adventure,drama,history"
2023-06-04T19:31:37Z,movie,Air,2023,7.43158,775413,tt16419074,964980,https://trakt.tv/movies/air-2023,2023-04-05,111,"drama,history"
2023-08-15T21:17:19Z,movie,Air America,1990,6.48092,6879,tt0099005,11856,https://trakt.tv/movies/air-america-1990,1990-08-10,112,"action,adventure,comedy,drama"
2023-05-15T15:11:59Z,movie,Air Force One,1997,6.99445,5033,tt0118571,9772,https://trakt.tv/movies/air-force-one-1997,1997-07-25,124,"action,thriller"
2024-02-22T20:23:09Z,movie,Air Force One Down,2024,6.32409,904649,tt27708700,1124127,https://trakt.tv/movies/air-force-one-down-2024,2024-02-09,84,"action,thriller"
2023-05-09T01:17:31Z,movie,Airplane II: The Sequel,1982,6.62291,1796,tt0083530,2665,https://trakt.tv/movies/airplane-ii-the-sequel-1982,1982-12-10,85,comedy
2023-05-09T01:17:49Z,movie,Airplane!,1980,7.72125,656,tt0080339,813,https://trakt.tv/movies/airplane-1980,1980-06-27,88,comedy
2025-02-02T06:03:55Z,movie,Alarum,2025,5.27474,1012109,tt31456973,1249289,https://trakt.tv/movies/alarum-2025,2025-01-17,95,"action,crime,thriller"
2023-09-24T19:06:59Z,movie,Alexander,2004,6.09797,1334,tt0346491,1966,https://trakt.tv/movies/alexander-2004,2004-11-24,176,"action,adventure,drama,history,romance,war"
2023-06-21T14:56:52Z,movie,Ali,2001,6.91388,4226,tt0248667,8489,https://trakt.tv/movies/ali-2001,2001-12-10,157,drama
2022-07-02T07:19:06Z,movie,Alice in Wonderland,2010,6.7621,7070,tt1014759,12155,https://trakt.tv/movies/alice-in-wonderland-2010,2010-03-05,108,"fantasy,adventure,family"
2022-07-02T07:19:04Z,movie,Alice Through the Looking Glass,2016,6.97311,147091,tt2567026,241259,https://trakt.tv/movies/alice-through-the-looking-glass-2016,2016-05-27,113,"fantasy,family,adventure"
2023-05-10T01:14:08Z,movie,All the King's Men,2006,6.00247,1148,tt0405676,1717,https://trakt.tv/movies/all-the-king-s-men-2006,2006-09-10,125,"drama,thriller"
2025-07-11T21:23:26Z,movie,All the Money in the World,2017,7.01768,293456,tt5294550,446791,https://trakt.tv/movies/all-the-money-in-the-world-2017,2017-12-25,132,"crime,history,thriller"
2022-06-01T13:44:00Z,movie,All the Old Knives,2022,6.38849,302414,tt3706352,294793,https://trakt.tv/movies/all-the-old-knives-2022,2022-04-07,101,"thriller,mystery"
