title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres,Poster Link,Background poster,Description (long),Producer,Director(s),Writer(s),Stars,budget,budger_currency,worldwide_gross,worldwide_gross_currency
The Good Nurse,2022,6.9911,392277,tt4273800,541134,https://trakt.tv/movies/the-good-nurse-2022,2022-10-19,121,"drama,crime,mystery",https://image.tmdb.org/t/p/original/rSq6cq0LCcbro10jbEaPTEb3WmW.jpg,https://image.tmdb.org/t/p/original/x2U0R60Z7hmJxZixzsGZfjFJbve.jpg,"Suspicious that her colleague is responsible for a series of mysterious patient deaths, a nurse risks her own life to uncover the truth.",Darren Aronofsky; Michael Jackman; Scott Franklin,Tobias Lindholm,Krysty Wilson-Cairns,Jessica Chastain; Eddie Redmayne; Nnamdi Asomugha; Kim Dickens; Malik Yoba,,,,
The Good Shepherd,2006,6.71822,863,tt0343737,1247,https://trakt.tv/movies/the-good-shepherd-2006,2006-12-11,167,"drama,history,thriller",https://image.tmdb.org/t/p/original/qWmF0rQRPeIVQRfwQN3C9VFKsBh.jpg,https://image.tmdb.org/t/p/original/kR0b1QrKIn4AJs1a56ejU7tWfoh.jpg,"Edward Wilson, the only witness to his father's suicide and member of the Skull and Bones Society while a student at Yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded OSS. His dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family.",James G. Robinson; Jane Rosenthal; Lorena Reyes; Robert De Niro,Robert De Niro,Eric Roth,Matt Damon; Angelina Jolie; Robert De Niro; Alec Baldwin; William Hurt,,,100266865,
The Graduate,1967,7.67068,23804,tt0061722,37247,https://trakt.tv/movies/the-graduate-1967,1967-12-21,106,"drama,comedy,romance",https://image.tmdb.org/t/p/original/z1Z1tZMR66RxcNeHbwoEhYeqOlP.jpg,https://image.tmdb.org/t/p/original/rQEhJmR9SJ2yJUKjD8RDTagVBHy.jpg,A disillusioned college graduate finds himself torn between his older lover and her daughter.,Lawrence Turman,Mike Nichols,Buck Henry; Calder Willingham,Dustin Hoffman; Anne Bancroft; Katharine Ross; Murray Hamilton; William Daniels,,,104945305,
The Grandmaster,2013,6.7511,30505,tt1462900,44865,https://trakt.tv/movies/the-grandmaster-2013,2013-01-10,130,"action,drama,history",https://image.tmdb.org/t/p/original/ydBVVIscL6TsX5hYztA5YpBCwJ3.jpg,https://image.tmdb.org/t/p/original/H4mLTEtxBpjuMRNyL0MVqw1EdN.jpg,"Ip Man's peaceful life in Foshan changes after Gong Yutian seeks an heir for his family in Southern China. Ip Man then meets Gong Er who challenges him for the sake of regaining her family's honor. After the Second Sino-Japanese War, Ip Man moves to Hong Kong and struggles to provide for his family. In the mean time, Gong Er chooses the path of vengeance after her father was killed by Ma San.",Jacky Pang; Wong Kar-Wai,Wong Kar-Wai,Wong Kar-Wai; Xu Haofeng; Zou Jingzhi,Tony Leung Chiu-wai; Zhang Ziyi; Chang Chen; Zhao Benshan; Xiao Shenyang,,,64076736,
The Great Debaters,2007,7.47611,8393,tt0427309,14047,https://trakt.tv/movies/the-great-debaters-2007,2007-12-27,126,drama,https://image.tmdb.org/t/p/original/szx0sWq0pgvgfRX7g72cWBYoOjf.jpg,https://image.tmdb.org/t/p/original/waOYBThLihaTKUFOAzjvhPjBmrS.jpg,The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African-American college students into a historical powerhouse that took on the Harvard elite.,Joe Roth; Kate Forte; Oprah Winfrey; Todd Black,Denzel Washington,Robert Eisele,Denzel Whitaker; Denzel Washington; Nate Parker; Jurnee Smollett; Forest Whitaker,,,30226144,
The Great Santini,1979,6.9703,13383,tt0079239,21887,https://trakt.tv/movies/the-great-santini-1979,1979-10-26,115,drama,https://image.tmdb.org/t/p/original/xvoHFQlSAq0696rvONsEAWj1fcm.jpg,https://image.tmdb.org/t/p/original/5ngHbTzsdIIp9vQG7jfUKnMDjho.jpg,"As he approaches manhood, Ben Meechum struggles to win the approval of his demanding alpha male father, an aggressively competitive, but frustrated marine pilot.",Charles A. Pratt,Lewis John Carlino,Lewis John Carlino,Robert Duvall; Blythe Danner; Michael O'Keefe; Lisa Jane Persky; Julie Anne Haddock,,,4700000,
The Grifters,1990,6.75487,11084,tt0099703,18129,https://trakt.tv/movies/the-grifters-1990,1990-12-05,110,"crime,drama",https://image.tmdb.org/t/p/original/zMpGfkiDIdg5bB7WGcAT3Fdrfpt.jpg,https://image.tmdb.org/t/p/original/i8vHWue4YFBQPI4wsnnBJq2RQV9.jpg,"A small-time conman has his loyalties torn between his estranged mother and his new girlfriend, both of whom are high-stakes grifters with their own angles to play.",Jim Painter; Martin Scorsese; Robert A. Harris,Stephen Frears,Donald E. Westlake,Anjelica Huston; John Cusack; Annette Bening; Jan Munroe; Robert Weems,,,13446769,
The Guardian,2006,7.32763,2727,tt0406816,4643,https://trakt.tv/movies/the-guardian-2006,2006-09-29,139,"drama,action",https://image.tmdb.org/t/p/original/zFhFjrckfmdb33VDeRykumMmebU.jpg,https://image.tmdb.org/t/p/original/ytclDXEffquvzjwNXbiYEU1b6F2.jpg,"A high school swim champion with a troubled past enrolls in the U.S. Coast Guard's 'A' School, where legendary rescue swimmer Ben Randall teaches him some hard lessons about loss, love, and self-sacrifice.",Beau Flynn; Tripp Vinson,Andrew Davis,Ron L. Brinkerhoff,Kevin Costner; Ashton Kutcher; Sela Ward; Melissa Sagemiller; Dulé Hill,,,94973540,
The Guardians of the Galaxy Holiday Special,2022,7.036,612106,tt13623136,774752,https://trakt.tv/movies/the-guardians-of-the-galaxy-holiday-special-2022,2022-11-25,45,"science-fiction,holiday,adventure,comedy,superhero",https://image.tmdb.org/t/p/original/8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg,https://image.tmdb.org/t/p/original/nJbWAc8wakV3BncyF4643SyFWPr.jpg,"On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present.",,James Gunn,James Gunn,Chris Pratt; Dave Bautista; Karen Gillan; Pom Klementieff; Vin Diesel,,,,
The Guilt Trip,2012,6.22378,61861,tt1694020,82687,https://trakt.tv/movies/the-guilt-trip-2012,2012-12-19,95,comedy,https://image.tmdb.org/t/p/original/55JqWqocsMNx5uanELDRDFqu40J.jpg,https://image.tmdb.org/t/p/original/wlZ29Zkryj8exANbj3Wr52kiILx.jpg,An inventor and his mom hit the road together so he can sell his latest invention.,Evan Goldberg; John Goldwyn; Lorne Michaels,Anne Fletcher,Dan Fogelman,Seth Rogen; Barbra Streisand; Yvonne Strahovski; Colin Hanks; Brett Cullen,,,41863726,
